Cell_Af,Cell_Cf,InterneuronCellf,SOM_Cell,CR_Cell
-70.0,-70.0,-70.0,-70.0,-70.0
-69.99961995331589,-69.99961995331589,-69.99999881329168,-70.0,-69.94739422222187
-69.9995091828829,-69.9995091828829,-69.99999783088573,-70.0,-69.89810255831004
-69.99953509946427,-69.99953509946427,-69.99999688304962,-70.0,-69.85036535756026
-69.99964514251242,-69.99964514251242,-69.99999594436963,-70.0,-69.80342338984768
-69.99981377232155,-69.99981377232155,-69.99999501102376,-70.0,-69.75694873839478
-70.00002639101797,-70.00002639101797,-69.99999408242049,-70.0,-69.71079944099999
-70.00027361210701,-70.00027361210701,-69.99999315845169,-70.0,-69.6649137086883
-70.00054888962413,-70.00054888962413,-69.99999223908166,-70.0,-69.61926432026729
-70.00084739638848,-70.00084739638848,-69.99999132428565,-70.0,-69.57383896047455
-70.00116542937866,-70.00116542937866,-69.99999041404058,-70.0,-69.52863174316539
-70.00150006448844,-70.00150006448844,-69.99998950832381,-70.0,-69.48363955669858
-70.00184894132508,-70.00184894132508,-69.99998860711277,-70.0,-69.43886048831236
-70.00221012141374,-70.00221012141374,-69.99998771038507,-70.0,-69.39429314481418
-70.00258199056046,-70.00258199056046,-69.9999868181184,-70.0,-69.34993635969745
-70.00296318918708,-70.00296318918708,-69.99998593029056,-70.0,-69.30578906685831
-70.0033525611588,-70.0033525611588,-69.99998504687947,-70.0,-69.26185024613861
-70.00374911528391,-70.00374911528391,-69.99998416786316,-70.0,-69.2181188998354
-70.00415199576506,-70.00415199576506,-69.99998329321977,-70.0,-69.17459404256097
-70.00456045913747,-70.00456045913747,-69.99998242292753,-70.0,-69.13127469685874
-70.00497385601096,-70.00497385601096,-69.99998155696481,-70.0,-69.08815989130078
-70.0053916164348,-70.0053916164348,-69.99998069531007,-70.0,-69.04524865965533
-70.0058132380374,-70.0058132380374,-69.99997983794188,-70.0,-69.00254004051554
-70.00623827631988,-70.00623827631988,-69.9999789848389,-70.0,-68.96003307712726
-70.00666633664122,-70.00666633664122,-69.99997813597994,-70.0,-68.91772681730265
-70.00709706754589,-70.00709706754589,-69.99997729134385,-70.0,-68.87562031337086
-70.00753015516679,-70.00753015516679,-69.99997645090967,-70.0,-68.8337126221447
-70.00796531849765,-70.00796531849765,-69.99997561465645,-70.0,-68.7920028048943
-70.00840230537366,-70.00840230537366,-69.99997478256341,-70.0,-68.75048992732385
-70.00884088903419,-70.00884088903419,-69.99997395460986,-70.0,-68.70917305954971
-70.00928086516691,-70.00928086516691,-69.9999731307752,-70.0,-68.66805127607913
-70.00972204935339,-70.00972204935339,-69.99997231103895,-70.0,-68.62712365578935
-70.01016427485139,-70.01016427485139,-69.99997149538069,-70.0,-68.58638928190692
-70.01060739066178,-70.01060739066178,-69.99997068378016,-70.0,-68.5458472419871
-70.01105125983683,-70.01105125983683,-69.99996987621716,-70.0,-68.50549662789342
-70.01149575799525,-70.01149575799525,-69.99996907267163,-70.0,-68.46533653577734
-70.01194077201434,-70.01194077201434,-69.99996827312356,-70.0,-68.42536606605796
