timestamps,node_ids
5404.300000010995,720
5328.200000010718,816
5073.300000009791,888
5051.800000009713,912
5282.300000010551,960
5359.00000001083,960
5451.600000011167,960
5469.600000011233,960
5005.300000009544,984
5174.80000001016,984
5292.500000010588,984
5659.200000011922,168
5812.9000000124815,720
5907.700000012826,816
5566.000000011583,864
5793.30000001241,864
5839.600000012579,864
5930.60000001291,864
5882.600000012735,888
5896.500000012786,960
5907.800000012827,960
5546.8000000115135,984
5651.100000011893,984
6083.700000013467,0
6470.600000014874,288
6215.900000013948,672
6115.400000013582,792
6220.000000013963,888
6254.9000000140895,888
6440.000000014763,888
6330.900000014366,936
6430.200000014727,936
6464.00000001485,936
6101.300000013531,960
6255.300000014091,960
6489.900000014944,960
6105.900000013548,984
6118.400000013593,984
6304.000000014268,984
6440.100000014763,984
6996.200000016786,240
6822.800000016156,816
6847.700000016246,864
6942.400000016591,888
6925.70000001653,912
6666.200000015586,960
6982.900000016738,960
6594.700000015326,984
6744.900000015872,984
6850.200000016255,984
6868.900000016323,984
7328.400000017995,480
7202.4000000175365,624
7184.00000001747,792
7060.40000001702,840
7013.70000001685,864
7145.800000017331,864
7322.600000017974,888
7358.300000018104,888
7382.800000018193,888
7287.800000017847,936
7316.300000017951,936
7337.000000018026,936
7025.000000016891,960
7188.900000017487,960
7355.700000018094,960
7366.800000018135,960
7453.60000001845,960
7466.400000018497,960
7004.400000016816,984
7064.500000017035,984
7353.500000018086,984
7916.600000020135,72
7962.600000020302,600
7572.500000018883,816
7661.400000019206,864
7684.900000019292,864
7737.500000019483,864
7545.400000018784,912
7556.600000018825,936
7610.500000019021,960
7815.200000019766,984
7971.800000020336,984
8402.600000018072,360
8476.800000016992,408
8243.200000020392,696
8100.100000020802,840
8111.200000020843,840
8130.500000020913,840
8096.80000002079,888
8147.200000020974,888
8251.000000020278,888
8339.900000018984,912
8439.20000001754,912
8161.900000021027,936
8339.700000018987,936
8037.000000020573,960
8107.3000000208285,960
8118.300000020868,960
8441.100000017512,960
8356.600000018741,984
8461.500000017215,984
8948.000000010135,0
8609.800000015057,168
8919.50000001055,216
8981.000000009655,432
8724.40000001339,576
8618.300000014933,888
8728.50000001333,912
8744.3000000131,912
8547.70000001596,936
8801.000000012275,960
8933.90000001034,960
8706.400000013651,984
8803.700000012235,984
9053.300000008603,624
9061.200000008488,648
9473.600000002489,768
9034.800000008872,792
9028.300000008969,864
9334.800000004509,864
9393.70000000365,864
9204.7000000064,912
