x_axis_frequency,case1,case2,case3,case4,case5,case6
0,-9.231352613724566e-06,-1.0273199699020126e-05,-2.5011911019450465e-05,-4.697382576802866e-06,-1.5913660743778977e-05,-4.363186019801066e-06
1,2.568215596108756e-05,6.236225438441772e-07,-1.4413474980511759e-05,2.69920846394958e-06,2.8527549427575715e-05,2.9950161327334033e-06
2,2.2140069562659277e-05,-5.325884987065344e-06,-8.26085958868248e-06,-3.593030009387217e-07,2.7831218941014622e-05,3.303069972184895e-07
3,2.007320130477975e-05,3.578260861385453e-06,1.0069671909371567e-05,2.722805345995467e-07,1.721971097962506e-05,3.7814310168691005e-07
4,8.720605313021056e-06,5.271913262543725e-06,6.149888209709041e-06,-6.20491834634886e-08,1.0451871468074603e-05,-8.272952190347997e-07
5,1.9965506550314155e-06,1.7414658190994044e-06,-2.0138255885943683e-06,7.245250967502696e-08,7.756114887676804e-08,-1.375286230226354e-06
6,1.9668636869910987e-05,5.7475846584978824e-06,2.7202262977699528e-06,1.9804206783590348e-06,1.7102890247602172e-05,3.754170611867094e-06
7,7.693393887139155e-06,4.1913358308152825e-05,9.489231069426595e-05,1.2143265053271395e-05,2.4437817141756905e-05,3.0588096262985785e-06
8,2.0861510488751998e-05,0.0002136167200810119,0.0004900359359250857,9.775151970745924e-05,3.475332765067413e-05,6.304345098612983e-06
9,1.8651431275156993e-05,8.359510367412206e-05,0.00016440598216784056,4.27909908937792e-05,2.575608410827378e-05,6.952801320071377e-06
10,3.049040714382123e-06,1.0533310967048338e-06,-1.7355416083576121e-06,1.0612808242784996e-06,6.1237193679353395e-06,2.720313701875421e-06
11,-4.2890888599410177e-07,1.1286053672918378e-06,-8.221831239579933e-06,4.548833300093307e-06,6.909894283391579e-06,1.8167363322792727e-06
12,1.1578512461522809e-05,1.6964915286108775e-05,9.186754456214594e-06,8.542756506945702e-06,1.7398787879246374e-05,6.797654014887314e-06
13,1.329173465752405e-05,1.561555212611787e-05,1.5288731193267934e-05,2.010996824619204e-06,2.26336416256717e-05,5.254214023153144e-07
14,7.753339716441015e-06,7.510938134181037e-07,3.172414431541022e-07,-4.3431746663512294e-07,7.841109397713871e-06,2.8672981366401194e-06
15,1.6641656720748405e-05,7.815770647570371e-06,2.838077284848242e-06,1.5273921933490105e-06,2.289270494570863e-05,6.052007647240865e-06
16,3.308054420097175e-06,1.3556283443585013e-05,1.202429010587823e-05,1.1871857515561955e-05,1.442044886713972e-05,5.453959205726366e-06
17,-6.713813371144835e-06,-7.759289251866414e-07,-7.081022464592844e-06,7.454304552641014e-06,-1.1503192305944774e-05,-3.89805012354873e-06
18,-7.75204114299481e-06,-1.7725882527928202e-06,-7.988382231515653e-06,-1.008114695388325e-06,-5.378666334175874e-06,-1.4338285520175378e-06
19,1.7201216789715438e-05,-9.725853887359426e-08,1.1134717867204495e-05,2.8746689528458062e-06,3.1595318615016936e-05,1.0097287217304978e-05
20,2.200949988049408e-05,4.368064636412616e-06,1.814768152280248e-07,2.846992534611946e-06,2.862534811841329e-05,3.099208782777405e-06
21,-1.1326639650015253e-06,4.1679880050096496e-06,-6.007320834728842e-06,7.476564022830679e-07,1.0809587552656076e-05,-1.7862244557964069e-06
22,-9.212060315483184e-06,-4.01205374750848e-07,-3.737123329893632e-06,-1.866271517659766e-06,2.733600616318388e-07,-5.249089907296092e-07
23,-4.0931007034169625e-06,5.493126896025476e-06,-6.467282656588244e-06,2.997758506951625e-06,5.7121274987066156e-06,4.757808258440222e-06
24,-4.294037806526027e-06,2.897900856469875e-06,-1.3983206251490552e-05,5.977027837136502e-06,-9.92137563126873e-06,4.192295488586676e-06
25,-1.0328261777333968e-06,-2.914033147222881e-07,-6.15957107908637e-06,6.285019209056046e-07,-4.55073441882199e-06,4.117152455331399e-06
26,-1.4165161052805807e-06,5.202259509492151e-06,-2.855612592023192e-06,5.356464997947861e-06,2.693945253149255e-06,7.978207927286556e-06
27,1.9706846062679193e-05,2.371377432805409e-05,7.928003659429655e-06,9.489926018300899e-06,1.7735170898742273e-05,1.4533644281257202e-05
28,-6.007029564368388e-07,3.4364472014154682e-06,-1.8058845024324381e-06,7.494635718282554e-07,-1.0999548237685465e-05,5.096703550459538e-06
29,-5.529615357140868e-06,5.490510992934886e-07,2.46727286361754e-07,-2.0702624849898022e-06,-9.132866723719091e-06,4.385672578493983e-06
30,3.459461957373442e-06,1.2301996116640907e-05,4.3411586755651575e-06,9.309968642678263e-06,-1.504234580181395e-06,1.1925659195885335e-05
31,2.694972089311893e-06,1.3271753649996176e-05,-1.5269761404656439e-06,4.517676840193348e-06,2.0618859180882105e-06,8.382286827059695e-06
32,-5.98638148824859e-06,-3.7676699031237347e-06,-1.614473778262045e-05,-2.6833055515018667e-06,9.699771504371947e-07,3.2822488527982213e-06
33,-5.403767189410696e-06,5.192636671821292e-06,-1.2893218329546892e-06,4.855660107992519e-06,-1.1586994491008336e-05,5.688770819794087e-06
34,1.700044544117279e-05,1.0682722725806455e-05,7.64729625262469e-06,4.782162679307638e-06,1.4610640439615854e-05,7.646394299236761e-06
35,3.635638438963374e-05,6.025817156572481e-06,1.0535968840988108e-05,4.491841364534902e-06,3.7309526225425605e-05,8.096268484382326e-06
36,3.386752773056009e-05,8.87915209483371e-06,1.9492527617650032e-05,4.8243958653687326e-06,4.401392684630226e-05,7.108038070842967e-06
37,9.456476548709103e-06,1.6176567669095045e-05,2.5686388476382726e-05,5.043261738886819e-06,1.907671716036601e-05,6.6046316994754855e-06
38,-7.707392177069695e-06,-7.968159619885556e-07,-6.283665921213748e-06,-1.1362635899268095e-06,-8.455739416568714e-06,3.681118759344275e-06
39,7.463522475491612e-06,7.204485520038542e-06,2.3930081753326666e-06,-2.2433547529932645e-06,-3.023612361150897e-06,3.2890252240239026e-06
40,2.7756098712173804e-05,1.5595982618341243e-05,2.644184017885375e-05,3.0454338614031237e-06,3.7498088096210833e-05,3.381493878070998e-06
41,1.7334097302222727e-05,5.272542346006205e-06,1.2670462145169293e-05,-3.066723297234893e-06,1.89286667333455e-05,1.9346777280611363e-06
42,2.2019367512015626e-06,-3.3961567621662694e-06,3.949688021682052e-06,-6.335063725509425e-06,1.1476129854933369e-05,9.446711375238935e-07
43,7.428905363631952e-06,-1.0401755064484782e-05,-6.011760139387738e-06,-7.307471544331762e-06,4.057184101442013e-05,4.5036183315304655e-06
44,9.483122424886347e-07,-2.0008820453652895e-06,-6.307640480126863e-06,-5.11358208415915e-06,3.0367078546566592e-05,2.7413520203599625e-06
45,4.194364019502544e-06,3.6765071913286867e-06,-2.186893804310271e-06,-7.059960370065074e-07,2.0471411037262923e-05,7.900620590610177e-07
46,1.3639815822630831e-05,6.7904987726125546e-06,2.2258749839091036e-05,2.475902622479976e-06,2.4549798304093252e-05,1.255459469371371e-06
47,2.488982805173459e-05,4.890813391311928e-06,1.2580150041654345e-05,-8.426989142132283e-07,1.8290385574592304e-05,-8.608293609675074e-07
48,2.9565578779685924e-05,7.288566972076732e-06,3.822528975866878e-06,4.090101098520126e-06,2.3539269229019388e-05,4.473681087522485e-06
49,4.244802703599699e-05,3.4100926144575353e-06,5.302674673974448e-06,6.711362558155013e-06,3.399824809124463e-05,6.6150876409305695e-06
50,4.003069867424067e-05,8.032181475916482e-06,1.755605184978243e-05,7.1524658790617116e-06,3.0221740302485947e-05,1.1709974195943402e-05
51,1.9945812549579548e-06,1.3571179783817712e-06,5.435815957595847e-06,2.6250783607761057e-06,-1.265492500581098e-06,5.381137559645164e-06
52,7.449399847115259e-07,-8.849207039450589e-06,-7.162349465961632e-06,-1.414288838416308e-06,4.256442041275242e-06,2.0317710706723757e-07
53,-9.933406539844067e-07,-8.437868656123286e-06,-1.2043618562428332e-05,-9.462667252005885e-08,4.821598070019988e-06,-1.0512279003396138e-06
54,4.784915392815849e-06,-4.439183769222259e-06,-8.2980855579808e-06,2.392992409584964e-06,4.679663244446289e-06,2.3237463377791214e-06
55,-8.607025394833535e-07,-5.882150213306272e-06,-6.220146252398109e-06,-4.526415241790066e-06,-1.0004163451715566e-05,2.547363414500329e-06
56,5.7539026687458185e-06,-1.1954792932644648e-08,-1.2205738983847516e-05,-1.437941707545109e-06,-6.454519699841341e-06,1.8602920356095306e-06
57,-3.8108783029395286e-06,-2.792574178383641e-06,-8.579057461076696e-06,-1.4474212463287615e-06,-9.363065619808779e-07,2.0945756113749374e-08
58,-6.0725891046700975e-06,-7.74289721418895e-06,-4.027247079820085e-06,-4.2126038648937305e-07,1.8265097354138574e-06,4.930217296438201e-06
59,3.2329628683673224e-06,-1.0495036263660796e-05,-1.0427851585810902e-05,-6.52326361847568e-06,4.209103622609137e-06,3.7289024057112673e-06
60,5.260491049742789e-06,-4.132370197292191e-06,-5.243545424854492e-06,-5.192385030122614e-06,1.2362063005668894e-05,3.4050851994132157e-06
61,6.332823344185317e-06,3.53243189473901e-06,2.5731537996478803e-06,2.368641797906888e-06,2.3864015057911895e-05,2.4485262088220155e-06
62,-5.229565982760388e-06,6.665936462057948e-07,7.11515459181325e-06,-3.958377088611557e-06,1.1064752411563861e-05,2.6346472516085903e-06
63,5.838433962610646e-07,-3.91221777484896e-06,-1.7384518540205723e-06,-3.565722629909423e-06,2.08819894409021e-05,2.084436599196362e-06
64,-9.404743366712031e-07,2.7133019066389837e-06,8.638577059799495e-06,-3.737498822513355e-06,3.589571112859371e-05,6.6042047474654325e-06
65,3.1967386005345283e-06,-9.718915212645996e-07,3.995548826775413e-06,1.1806964505637733e-07,5.471959304884494e-06,4.117495082961143e-06
66,1.0017294222744607e-05,-3.3857078902414256e-06,-5.414046108212838e-06,-1.6413271082299512e-06,-6.43899306446257e-06,-5.111626380623235e-07
67,7.860910999244722e-06,-3.853712030472923e-06,8.343060730599021e-06,1.6248385221803222e-06,7.433447073338922e-06,4.297874176274939e-06
68,7.265517096588729e-06,4.907508346297408e-07,2.1919015619659162e-05,4.902735954149293e-06,1.044228457337379e-05,5.235292180706837e-06
69,2.850749905544374e-07,1.03001052065267e-05,1.787332442829394e-05,4.9232466847983684e-06,-9.41091983549952e-06,4.384031100577139e-06
