x_axis_frequency,case1,case2,case3,case4,case5,case6
0,-8.732426981842861e-06,-1.103311767150428e-05,-2.2839766978060736e-05,-4.1411283835584854e-06,-1.0521778022135401e-05,-3.3937737322550827e-06
1,2.684526573394566e-05,-3.0033412896706153e-06,-1.2702381713024898e-05,2.4288989520143963e-06,3.3090606816899683e-05,3.6225112217158152e-06
2,2.5268855525183106e-05,-6.3990451983431855e-06,-5.0200857203065475e-06,-4.0268594335677103e-08,3.367296173254463e-05,1.1903806663167078e-06
3,2.0331712696281195e-05,2.263571968132767e-06,3.9473975109313925e-06,1.559196973029693e-06,1.9059287664269583e-05,5.640551430390828e-07
4,1.1210741964373563e-05,3.2080147739020593e-06,7.490782930968339e-06,7.703111966228187e-07,9.38250703103492e-06,1.259379255562196e-07
5,-1.572140044620958e-07,5.140922429689857e-07,-1.206169711554619e-07,2.6343114382230286e-07,3.7182485373434706e-06,-1.8881093103364812e-06
6,1.7266366894839058e-05,6.2157701584981335e-06,-1.0945507016150538e-06,2.8838353890767037e-06,1.982746357274501e-05,3.577877022776449e-06
7,9.12680506144096e-06,4.313634872459037e-05,9.005304306715584e-05,1.3043469502345866e-05,2.384851731041335e-05,3.6525150755791307e-06
8,2.0553172146306793e-05,0.00020696794523189431,0.0004952317314865906,9.718591568227185e-05,2.494142543098443e-05,5.870467571612931e-06
9,1.8040076234692916e-05,8.172794813690925e-05,0.00017329831201552185,4.3895026498986205e-05,2.4365249484074297e-05,6.848805279846514e-06
10,-1.9621140826883365e-07,5.914612450528482e-08,-3.928277245642721e-06,1.4613097284957078e-06,9.34816417135413e-06,3.3659954111734834e-06
11,-2.296641346133888e-06,3.777255821001909e-07,-5.713758914672439e-06,3.5842059726087545e-06,8.932883185966169e-06,2.334971593923224e-06
12,8.016831858345969e-06,1.588337862393258e-05,8.19004176597929e-06,8.403723490925648e-06,1.1401483073349031e-05,7.6188275781980555e-06
13,1.1746171965971989e-05,1.452058941116539e-05,1.6781808936000454e-05,3.216255178657736e-06,1.861892854710078e-05,1.1250961779803039e-06
14,7.231372574890602e-06,2.063214977425354e-06,8.069322462876551e-07,7.541376735437044e-07,8.987317194167193e-06,2.72057602302923e-06
15,1.728342658021529e-05,6.763814315973477e-06,6.521363358691552e-07,2.210510563439946e-06,2.7531133479695644e-05,6.270184538493164e-06
16,4.065846548483974e-06,1.186699199659746e-05,1.2795333680381274e-05,1.1581829048840717e-05,1.640648460650414e-05,5.001809737944944e-06
17,-4.5262419600926075e-06,-5.566828333442833e-07,-2.1652348912487487e-06,8.478240268978918e-06,-7.935672710117745e-06,-3.6404171325121117e-06
