x_axis_frequency,case1,case2,case3,case4,case5,case6
0,-8.160911570468228e-06,-8.587158577213e-06,-2.8435804160359262e-05,-5.246542371931186e-06,-3.970949987273282e-05,-5.085350695179378e-06
1,3.988081208493101e-05,3.337919432859348e-07,-1.4452054723649955e-05,1.913222326661203e-06,1.93463378908959e-05,4.736078661092165e-06
2,3.2337187134149714e-05,-4.66764032773882e-06,-7.227244552122378e-06,-3.050097590215375e-07,2.3086901768536846e-05,2.2032724576312675e-06
3,2.5688834711690286e-05,6.9443944084678265e-06,1.0136168399194816e-05,1.564995196498419e-06,5.530622144258687e-06,1.9543229593424427e-06
4,9.789743542208974e-06,1.0700708324961943e-05,9.247282768365629e-06,6.68927632277637e-07,-3.431150206812071e-06,-6.66447705173661e-07
5,-2.9443164611555976e-06,4.404902228857177e-06,-4.544363924442145e-06,2.2862293310965508e-07,-1.0052155721355445e-05,-2.4154644458997604e-06
6,1.990663154348951e-05,8.992054490331682e-06,-2.03588303079893e-06,2.222817446574557e-06,1.2425171896483976e-05,3.8269447221569204e-06
7,1.2803937698798952e-05,5.0021094194165164e-05,0.00010671217007575108,1.3006249366054424e-05,1.4091262155831458e-05,3.398144887860551e-06
8,2.3525574215719586e-05,0.00026286804827255894,0.0005490143303861952,0.00010170827220863875,1.2913444979518906e-05,5.923212817029643e-06
9,2.177162493610302e-05,0.00010131169011954073,0.00018417791783271177,4.4805667142320285e-05,1.5438238927487025e-05,6.151631626893642e-06
10,1.1929354285002011e-06,6.359377739006237e-07,-4.661724113692234e-06,8.908330170026603e-07,4.500371716372744e-06,3.0423147287848943e-06
11,-3.8058401843658074e-06,8.377743812962006e-07,-1.0084622478838057e-05,4.822189271323306e-06,-1.6096410939441306e-06,1.3374406311456192e-06
12,8.602945226336855e-06,1.7499323296296174e-05,6.802308350965767e-06,8.582700748741494e-06,5.270529279746457e-06,6.69876389540441e-06
13,9.167035782813618e-06,2.0663568273044607e-05,1.560396095870012e-05,2.0821123810021784e-06,1.2510763284593422e-05,9.470519675588348e-07
14,5.6085174821614354e-06,7.762784659976403e-07,3.030437506326357e-06,-8.729982521947659e-07,1.0933544448485372e-06,3.0232133775682946e-06
15,1.5573895363251038e-05,9.3667632418194e-06,4.1739922169930656e-06,1.6715474914711752e-06,2.1057743887360394e-05,6.162030798441035e-06
16,3.142636280290044e-07,1.7616530306175487e-05,1.3330944835716924e-05,1.1311242202444721e-05,8.896161443130719e-06,5.383570292951881e-06
17,-8.105993719033137e-06,-1.2709127928295754e-07,-8.934493195333846e-06,6.805149405547047e-06,-1.5873061694338408e-05,-5.382646430439462e-06
18,-8.173839798170869e-06,-1.369248448384475e-06,-9.46699060212784e-06,-1.1220604439658882e-06,-1.0952563125898396e-05,-2.3421468660945953e-06
19,1.5929428221664016e-05,7.761126218867486e-07,1.2355841041742082e-05,3.261679385898965e-06,3.4399881328251515e-05,1.0291758789713578e-05
20,2.480991793316106e-05,2.7389138005506055e-06,-4.910867204855349e-07,2.5071428736981916e-06,2.5135162465634827e-05,4.325541818903276e-06
21,1.0045820861942332e-06,2.0081796196524834e-06,-6.174341072642398e-06,2.574010615004548e-07,6.819235709904283e-06,-1.697550389055318e-06
22,-8.555960076762376e-06,-2.247574516772166e-06,-7.020434746433166e-06,-2.1417679353740606e-06,-6.52641339235809e-06,-1.9777576672864477e-06
23,-7.015182542860059e-06,4.606396554683814e-06,-6.884640309804799e-06,2.233794913953689e-06,7.810620722467141e-07,4.585741776127416e-06
24,-5.1955118420545735e-06,2.9467066861434975e-06,-1.378121706152834e-05,5.761614781434998e-06,-1.3146514369079135e-05,4.995343821202449e-06
25,-4.1730921165323675e-07,-2.973972772031191e-06,-4.015235236805629e-06,5.914920757353427e-07,-9.379851505234046e-06,5.256197888052865e-06
26,-3.602657063976291e-07,4.738036211827727e-06,-1.3038529477145308e-06,5.29145598253386e-06,-2.7315950899465836e-07,9.829958830259094e-06
27,2.4752542122103918e-05,2.4366238682134976e-05,5.054936977930698e-06,8.784746849496593e-06,1.8102274888314928e-05,1.4356471590900936e-05
28,2.786226272001702e-07,3.844193441418817e-06,-3.0022006269256793e-06,-5.858298679686876e-08,-1.4526310697166958e-05,5.196567095997005e-06
29,-7.4952867625766584e-06,-1.1538444605888859e-07,5.376640832473211e-07,-2.403103301009164e-06,-9.843711219633602e-06,5.6885442933717385e-06
30,6.019498317676617e-06,1.1390115766397856e-05,4.601350196395258e-06,9.920252039375605e-06,-4.629573970358586e-06,1.2657231470803353e-05
31,3.037930984376462e-06,1.1886205342493268e-05,9.36348627648647e-08,4.34717052028232e-06,3.710749882943626e-07,9.009744022259008e-06
32,-9.00675852149857e-06,-3.6332243767956e-06,-1.4108597974919599e-05,-3.117518606143092e-06,2.4229598503891915e-06,3.2387915108598046e-06
33,-8.318344156255032e-06,6.135020775818692e-06,-8.266718173962308e-07,5.408801398686107e-06,-1.3173968416771698e-05,5.718416964958285e-06
34,1.3840740987459274e-05,7.764709318890146e-06,9.380299431279124e-06,4.047913585148611e-06,1.4987187917299327e-05,9.080196080457294e-06
35,3.7678228958066916e-05,4.650131048634107e-06,1.1113244846481062e-05,5.902995383967552e-06,4.1767121206629736e-05,9.336203344826907e-06
36,3.451888170048656e-05,1.053239030881233e-05,1.752985987884391e-05,5.270792234875057e-06,5.097628478563463e-05,8.662219407859963e-06
37,1.2388118834680639e-05,1.849141058752782e-05,2.5804227328923005e-05,4.469744084606287e-06,2.4526801800981365e-05,6.361427008810571e-06
38,-8.867514066311649e-06,-4.228199193085804e-06,-7.399289510280581e-06,-1.2599931772509368e-06,-1.3215021035484757e-05,4.163154021892229e-06
39,5.920803634595337e-06,6.7438439380402295e-06,9.65212413408079e-07,-3.3149451033975007e-06,-3.2025528268335467e-06,3.983687352282693e-06
40,2.900204155982903e-05,1.7624804397871286e-05,2.6314433776839893e-05,2.20518719173759e-06,4.538536181746397e-05,4.381094008041864e-06
