node_ids,timestamps
24,8354.300000018775
240,8451.300000017363
264,8484.900000016874
408,8474.90000001702
145,8344.100000018923
337,8333.400000019079
361,8096.300000020788
505,8340.600000018974
529,8330.800000019117
601,8246.900000020338
434,8365.400000018613
458,8347.000000018881
123,8077.800000020721
219,8257.900000020178
267,8084.400000020745
291,8467.600000017126
363,8107.80000002083
579,8454.200000017321
28,8460.200000017234
5,8481.300000016927
149,8499.200000016666
221,8021.900000020518
389,8093.700000020779
413,8118.80000002087
581,8424.400000017755
605,8356.300000018746
102,8470.600000017082
198,8227.400000020622
246,8492.70000001676
534,8477.500000016982
630,8084.900000020747
31,8482.600000016908
55,8368.800000018564
175,8466.500000017142
199,8466.60000001714
511,8339.700000018987
535,8110.700000020841
607,8118.80000002087
631,8366.400000018599
105,8200.400000021014
297,8359.4000000187
393,8224.500000020664
130,8232.100000020553
250,8192.000000021137
298,8336.000000019041
490,8095.300000020785
634,8455.900000017296
299,8332.500000019092
60,8351.90000001881
108,8099.6000000208
132,8438.600000017548
276,8087.400000020756
540,8119.700000020874
13,8200.900000021007
181,8373.700000018493
229,8454.30000001732
278,8114.300000020854
398,8360.700000018682
207,8342.800000018942
327,8347.600000018872
399,8361.900000018664
591,8218.100000020757
615,8133.800000020925
88,8455.7000000173
137,8436.200000017583
329,8365.200000018616
401,8182.100000021101
569,8419.500000017826
593,8217.90000002076
42,8370.600000018538
138,8493.000000016757
306,8203.600000020968
450,8029.400000020545
522,8444.900000017456
139,8242.900000020396
187,8465.700000017154
572,8466.400000017144
620,8102.600000020811
69,8080.700000020732
117,8347.500000018874
165,8298.800000019583
213,8350.600000018829
285,8461.400000017216
309,8060.100000020657
549,8248.500000020314
238,8243.30000002039
286,8441.20000001751
310,8474.400000017027
502,8379.900000018402
550,8104.500000020818
95,8352.800000018797
311,8463.700000017183
335,8366.400000018599
407,8113.30000002085
479,8448.8000000174
